Config,N_Leads,N_Seeds,AUROC_Mean,AUROC_Std,AUROC_CI_Lower,AUROC_CI_Upper,F1_Mean,F1_Std,Brier_Mean,Brier_Std,AUROC_NORM_Mean,AUROC_NORM_Std,AUROC_MI_Mean,AUROC_MI_Std,AUROC_STTC_Mean,AUROC_STTC_Std,AUROC_CD_Mean,AUROC_CD_Std,AUROC_HYP_Mean,AUROC_HYP_Std
12-lead,12,5,0.9123994527852307,0.0011093874603544515,0.9114618405884574,0.9134056742457217,0.6838014281348765,0.0027101313223896343,0.08399118483066559,0.0004014383742340005,0.9526443595158305,0.0008247815326488685,0.9288861869496333,0.0027060289240254834,0.9341812754715436,0.0009641931875129155,0.9183129125669449,0.001476598499350476,0.8279725294222011,0.005777937693930043
6-lead-limb,6,5,0.8888580770575792,0.0004733966446585034,0.8883979720338196,0.8892184929801774,0.6395111807743118,0.008107767417352158,0.09530287086963654,0.0003363946687263952,0.9398187998286126,0.0003616220236844574,0.8851760804686636,0.0014566251581722212,0.9161609903950522,0.0005696147303850934,0.8839667144102628,0.0021180302853457387,0.8191678001853056,0.001653989725534806
3-lead-I-II-V2,3,5,0.9048001029831225,0.000514406503132141,0.9042768113318873,0.9051927570415783,0.6651253829124611,0.007061753744165814,0.08821258693933487,0.00054720731830338,0.9474771037047238,0.00030522175847519476,0.9199974945654177,0.0017040304377130217,0.9253118024125009,0.0006342059149459313,0.9105678114750695,0.0018601402568953053,0.8206463027579002,0.0015670136433877005
3-lead-I-II-III,3,5,0.888655304816302,0.000957321909277894,0.8878441525272333,0.8895051452417769,0.6361123407463481,0.006435682722575414,0.09586635380983352,0.0006635152551061384,0.9389828076940734,0.0009804904481570164,0.8864336612505067,0.0016090792583252236,0.9160829117942206,0.0008141394097743141,0.8831347044048659,0.002023452957992257,0.8186424389378437,0.0024907536736885334
3-lead-II-V2-V5,3,5,0.8975391781574645,0.0012310171894217073,0.8965129368948231,0.8986754054165523,0.661528945413455,0.004412170795458331,0.09031664729118347,0.000577807933662947,0.9426589351022969,0.0009634253836105524,0.9163659408275304,0.001432777759726501,0.9234279321714555,0.0015808609057009508,0.8974136723128658,0.002723117972955956,0.8078294103731739,0.0020884069667153264
2-lead-I-II,2,5,0.8877279719568524,0.001395331236310075,0.8864469470575005,0.8888637424932953,0.6293710349111807,0.005612786214297799,0.09645842909812927,0.000539578516275722,0.9388660308497452,0.0005491915321020045,0.8782593124792749,0.003419833349297721,0.9155352096090439,0.00044464929358632114,0.8844104184829991,0.0022495082355297653,0.8215688883631991,0.0020652461537330516
2-lead-II-V2,2,5,0.8824276353797262,0.0015015001073761997,0.8809541609113942,0.8836659095303725,0.6233569315223104,0.002691237584576017,0.09742219001054764,0.0002790953974534018,0.9298296454421644,0.0009955734466893377,0.9082906304115544,0.0019342004835643848,0.8946880951893341,0.0013830371848874898,0.8947392525013493,0.002822926735151096,0.7845905533542294,0.002316223884580521
1-lead-II,1,5,0.8541217288186054,0.0012240736708171952,0.8530567708603961,0.8551866867768148,0.5614672083550508,0.006469250962971471,0.10965767949819565,0.0006139924509143543,0.9159303317571806,0.0008556291808232913,0.8405276150473455,0.001430578937505186,0.8748163232914867,0.0018691420946280854,0.8580135290820776,0.0017984204703719018,0.7813208449149369,0.0015254191503836423
1-lead-V2,1,5,0.7922875650875161,0.0006421150377594144,0.791748795382944,0.7928969162831873,0.4456459367135617,0.004588137797170466,0.12846388220787047,0.0003414286308904457,0.8403832690630308,0.0009883679128539953,0.8279644817803323,0.0011401161889694992,0.7648875412152615,0.0015187903524984103,0.8110159266409266,0.0017791888709226505,0.7171866067380289,0.002798861799257944
1-lead-I,1,5,0.8422516574782744,0.00120522697695093,0.8411919370383346,0.843311377918214,0.5358731646425279,0.004747827436773483,0.11545949578285217,0.00028350414589454743,0.9030522655281642,0.0017423425996758635,0.8018454736376699,0.0025731014698675793,0.8763360400581621,0.0011891819489468225,0.8182396105783203,0.0028164156016773807,0.8117848975890551,0.0009513383797581866
1-lead-V5,1,5,0.8508100610386446,0.000887622538783574,0.8500379956281096,0.8515821264491796,0.5733342015544116,0.0031289848099257988,0.10930382311344147,0.0004833507115770717,0.9127127997367979,0.00041487728400144445,0.8162615968461001,0.003071052808762617,0.9105960341190686,0.0005045037995804535,0.8209197388632873,0.002160731440334546,0.7935601356279693,0.002166917091721091
